"ProlID","language_guesses","tech_difficulity","distraction","other_languages","media_exposures","family_exposure","comments"
"{""prolific_id"":""67cfeddb9f4b04d789ca82bd""}","I have no idea","NA","Not at all","NA","NA","NA","None"
"{""prolific_id"":""66d8e14e71c04a7d23ff43c9""}","Chinese and Russian","There were none.","Not at all","No, I have not.","No. I HATE captioned subtitles.","Only English.","None."
"{""prolific_id"":""682c856fbf6ad86ec8cacabf""}","NA","All was well.","Not at all","NA","NA","NA",""
"{""prolific_id"":""677b2d6d388798dbdf3d3765""}","spanish","NA","Not at all","NA","Spanish, Japanese","English",""
"{""prolific_id"":""67c585f8e60aec06bb2e7863""}","Spanish, Chinese","No7","Not at all","No","No","None",""
"{""prolific_id"":""67b866414a65141d7f530eff""}","JAPANESES","NO DIFFICULTIES AT ALL","Not at all","SPANISH 1 IN HIGH SCHOOL","ENGLISH, JAPANESE, KOREAN, CHINESE","SOME POLISH","NO CONCERNS AT ALL/ IF FOUND THE STUDY TO BE VERY ENGAGING AND INTERESTING"
"{""prolific_id"":""6832366b4142b6b255dbc4e6""}","Spanish, mexican","NA","Not at all","NA","NA","NA","None"
"{""prolific_id"":""682a2ffa0899528d1d1327d8""}","Chinese ","No,all was smooth","Not at all","Yes for Spanish for few months. I just love the language. ","Yes, Chinese and I'm poor in it","English","No, it was awesome"
"{""prolific_id"":""681d390a83ce0cde75d36539""}","No","Not at all","Not at all","No","Yes...often through songs","No","NA"
"{""prolific_id"":""67155947b83a6aee15acbc0d""}","Japanese","No i had all clearly","Not at all","No","yes","No","The study was interesting"
"{""prolific_id"":""67e03c6425fabb9ed20edae5""}","Hindi","I had everything clearly.","Not at all","No, I have not studied any language.","No, i'm not exposed to any non-native language.","English.","The study was clear and interesting."
"{""prolific_id"":""673cbbb6e625ce8a7e323089""}","chinese","NONE","Not at all","NO","NO","NO",""
"{""prolific_id"":""67d1f22e4a4e2154f7069121""}","Punjabi or some Indian dialect(s).","NA","Not at all","NA","NA","NA","I enjoyed the study!"
"{""prolific_id"":""67dce6281631861c171e35c3""}","n/a","n/a","A little","n/a","n/a","n/a",""
"{""prolific_id"":""graniaheadwardshemphill254@gmail.com""}","NA","None","Not at all","NA","NA","English both father and mother","The study was nice."
"{""prolific_id"":""682fcecc19d8f7ff3f0b4439""}","Mandarin, yue","No technical difficulties ","Not at all","French, 1 year","Spanish, French","no",""
"{""prolific_id"":""67d046be60d06ac435106f0d""}","NA","NA","Not at all","NA","NA","NA",""
"{""prolific_id"":""668ec6d806bc125c6a6e71a5""}","French, Vietnamese, Korean, Thai, Tagalog ","None","Not at all","N/A","N/A","N/A",""
"{""prolific_id"":""6834cd9ad6677b5655252262""}","Malaysian, Indian, Filipino","No","Not at all","NA","NA","NA",""
"{""prolific_id"":""6769585e25b05c3ef79f9404""}","french","the was no difficulties","Not at all","none","french in PES games","my mom used to say some french words","the study was engaging "
"{""prolific_id"":""67cef6ed72f931c12ea5a8bd""}","No idea, but I think some sounded Asian.","NA","Not at all","NA","NA","NA","None"
"{""prolific_id"":""662acd8fd604c93c4700fca6""}","French and Japanese","No, there wasn't.","Not at all","No, I haven't.","All of my media is in English only.","No, it is only English.","Please contact me back for more surveys. This was really fun, thank you all and good day."
"{""prolific_id"":""67d00cbed3ecfc117418c6b4""}","No guesses","NA","Not at all","NA","NA","NA","None"
"{""prolific_id"":""682b873bfd01f422295de4fe""}","Chinese","N/A","Not at all","N/A","N/A","N/A","N/A"
"{""prolific_id"":""657f8d99678be2d216a85c3d""}","Mandarin, French, Japanese","no","Not at all","Spanish, 7 years, school
Latin, 4 years, school
Italian, 1 year, Duolingo","I watch certain shows and foreign movies in subtitles like Squid games so Korean","No",""
"{""prolific_id"":""67d7324bdbcbb6e5e7b18b7a""}","N/A","no","Not at all","N/A","N/A","N/A","N/A"
"{""prolific_id"":""682fa6f29be03e5b730e64ac""}","No","No","Not at all","No","No","NO","n/a"
"{""prolific_id"":""677d8ca02a50ccdc47145568""}","Chinese, Spanish","none","Not at all","none","none","English","none"
"{""prolific_id"":""682b2a717ed2e243951bb9e8""}","Chinese","No","Not at all","No","No","No",""
"{""prolific_id"":""66dba72b9aa3059c6579a628""}","Japanese, French, German","I had to open the study on my MacBook because when I tried to take it on my hp laptop, I never heard any audio. It works fine on my Mac though","Not at all","no","no","no","n/a"
"{""prolific_id"":""6832c5fd095355b580d4a942""}","Korean, Taiwan.","N/A","Not at all","N/A","Korean, Chinese, frequently","N/A",""
"{""prolific_id"":""67042cdf06ed4052bdf44c07""}","japanese","none","Not at all","no","no","no","nope thank you!"
"{""prolific_id"":""55b9a9b0fdf99b6906d2aba4""}","None","None","Not at all","No","No","No",""
"{""prolific_id"":""67a5853eb7c1388e96f84401""}","Korean","no","Not at all","NO","YES, CHINESE","NO","NONE"
"{""prolific_id"":""67221c4369ba09d32e88904c""}","filipino hawaiian,spanish","NA","Not at all","NA","NA","NA","NA"
"{""prolific_id"":""66da1c527c804056b970b229""}","chinese , french ","no technical issues ","Not at all","yes , french","yes, german","no",""
"{""prolific_id"":""674237456d8298ec577d6ab5""}","French","None","Not at all","None","Yes","No",""
"{""prolific_id"":""67894cf302d2c30bde3af46b""}","MANDARIN","NO","Not at all","NO","YES","NO","NO"
"{""prolific_id"":""67ef44c4d50545c1c22333d7""}","Chinese ","NO","Not at all","N/A","N/A","N/A",""
"{""prolific_id"":""68349268c85bfa63bb28177a""}","NA","No","Not at all","No","No","No","I appreciate being part of this study."
"{""prolific_id"":""67e83670d63e661cd96e6290""}","Vietnamese","N/A","Not at all","N/A","N/A","N/A","That was a well structured study"
"{""prolific_id"":""67d8337ef002686f1e7871f1""}","Chinese","NA","Not at all","NA","NA","NA","NA"
"{""prolific_id"":""65da0c93826bdadcf98372a9""}","no","a couple went in and out but most were clear","Not at all","NA","NA","ENGLISH",""
"{""prolific_id"":""678af0a3161e3e871bbade54""}","No","No ","Not at all","N/A","N/A","English my parents ",""
"{""prolific_id"":""682a36d569f9d4715cddd093""}","japanese,french","no","Not at all","no","japanese ,through anime ","no","no"
"{""prolific_id"":""640415971520c41606ca4389""}","various asian languages, perhaps japanese and Vietnamese as a couple of them. Maybe spanish","no","Not at all","yes one year of Spanish in high school a long time ago.","no","only english",""
"{""prolific_id"":""682ded9da752e3a5f53de61b""}","N/A","N/A","Not at all","N/A","N/A","N/A","Good challenge "
"{""prolific_id"":""67727321dbba1f283636b298""}","Russian, Vietnamese, Korean, Chinese","Nope","Not at all","No","No","No","I dont think I did very well :/"
"{""prolific_id"":""682e528d1bb4dc5bcdd31011""}","Chinese ","nope all was good","Not at all","N/A","N/A","N/A","Wow really enjoyed this survey would love to take part in more in the future it was really interesting"
"{""prolific_id"":""66a09fe785573924735fc76f""}","I think it was Hindi, not sure though. ","NA","Not at all","NA","NA","NA","NA"
