ProlID,language_guesses,cleaned_language_guesses,tech_difficulity,cleaned_tech_difficulity,distraction,other_languages,cleaned_other_languages,media_exposures,cleaned_media_exposures,family_exposure,cleaned_family_exposure,comments,sus,media_exposure_to_stimuli_lang,family_exposure_to_stimuli_language
"{""prolific_id"":""67cfeddb9f4b04d789ca82bd""}",I have no idea,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,None,,NA,NA
"{""prolific_id"":""66d8e14e71c04a7d23ff43c9""}",Chinese and Russian,"Chinese,Russian",There were none.,NA,Not at all,"No, I have not.",NA,No. I HATE captioned subtitles.,NA,Only English.,NA,None.,,NA,NA
"{""prolific_id"":""682c856fbf6ad86ec8cacabf""}",NA,NA,All was well.,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""677b2d6d388798dbdf3d3765""}",spanish,Spanish,NA,NA,Not at all,NA,NA,"Spanish, Japanese","Spanish, Japanese",English,NA,,,jp,NA
"{""prolific_id"":""67c585f8e60aec06bb2e7863""}","Spanish, Chinese","Spanish,Chinese",No7,NA,Not at all,No,NA,No,NA,None,NA,,,NA,NA
"{""prolific_id"":""67b866414a65141d7f530eff""}",JAPANESES,Japanese,NO DIFFICULTIES AT ALL,NA,Not at all,SPANISH 1 IN HIGH SCHOOL,"Spanish, intro in highschool","ENGLISH, JAPANESE, KOREAN, CHINESE","Japanese,Korean,Chinese",SOME POLISH,Polish,NO CONCERNS AT ALL/ IF FOUND THE STUDY TO BE VERY ENGAGING AND INTERESTING,,jp,NA
"{""prolific_id"":""6832366b4142b6b255dbc4e6""}","Spanish, mexican","Spanish,Mexican",NA,NA,Not at all,NA,NA,NA,NA,NA,NA,None,,NA,NA
"{""prolific_id"":""682a2ffa0899528d1d1327d8""}",Chinese,Chinese,"No,all was smooth",NA,Not at all,Yes for Spanish for few months. I just love the language.,"Spanish, for a few months","Yes, Chinese and I'm poor in it",Chinese,English,NA,"No, it was awesome",,NA,NA
"{""prolific_id"":""681d390a83ce0cde75d36539""}",No,NA,Not at all,NA,Not at all,No,NA,Yes...often through songs,unspecified,No,NA,NA,,NA,NA
"{""prolific_id"":""67155947b83a6aee15acbc0d""}",Japanese,Japanese,No i had all clearly,NA,Not at all,No,NA,yes,unspecified,No,NA,The study was interesting,,NA,NA
"{""prolific_id"":""67e03c6425fabb9ed20edae5""}",Hindi,Hindi,I had everything clearly.,NA,Not at all,"No, I have not studied any language.",NA,"No, i'm not exposed to any non-native language.",NA,English.,NA,The study was clear and interesting.,,NA,NA
"{""prolific_id"":""673cbbb6e625ce8a7e323089""}",chinese,Chinese,NONE,NA,Not at all,NO,NA,NO,NA,NO,NA,,,NA,NA
"{""prolific_id"":""67d1f22e4a4e2154f7069121""}",Punjabi or some Indian dialect(s).,Indian_language,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,I enjoyed the study!,,NA,NA
"{""prolific_id"":""67dce6281631861c171e35c3""}",n/a,NA,n/a,NA,A little,n/a,NA,n/a,NA,n/a,NA,,,NA,NA
"{""prolific_id"":""graniaheadwardshemphill254@gmail.com""}",NA,NA,None,NA,Not at all,NA,NA,NA,NA,English both father and mother,NA,The study was nice.,,NA,NA
"{""prolific_id"":""682fcecc19d8f7ff3f0b4439""}","Mandarin, yue","Mandarin,Yue",No technical difficulties,NA,Not at all,"French, 1 year","French, 1year","Spanish, French","Spanish,French",no,NA,,,fr,NA
"{""prolific_id"":""67d046be60d06ac435106f0d""}",NA,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""668ec6d806bc125c6a6e71a5""}","French, Vietnamese, Korean, Thai, Tagalog","French,Vietnamese,Korean,Thai,Tagalog",None,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,,,NA,NA
"{""prolific_id"":""6834cd9ad6677b5655252262""}","Malaysian, Indian, Filipino","Malaysian,Indian_language,Filipino",No,NA,Not at all,NA,NA,NA,NA,NA,NA,,,NA,NA
"{""prolific_id"":""6769585e25b05c3ef79f9404""}",french,French,the was no difficulties,NA,Not at all,none,NA,french in PES games,French,my mom used to say some french words,French,the study was engaging,,fr,fr
"{""prolific_id"":""67cef6ed72f931c12ea5a8bd""}","No idea, but I think some sounded Asian.",Asian,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,None,,NA,NA
"{""prolific_id"":""662acd8fd604c93c4700fca6""}",French and Japanese,"French,Japanese","No, there wasn't.",NA,Not at all,"No, I haven't.",NA,All of my media is in English only.,NA,"No, it is only English.",NA,"Please contact me back for more surveys. This was really fun, thank you all and good day.",,NA,NA
"{""prolific_id"":""67d00cbed3ecfc117418c6b4""}",No guesses,NA,NA,NA,Not at all,NA,NA,NA,NA,NA,NA,None,,NA,NA
"{""prolific_id"":""682b873bfd01f422295de4fe""}",Chinese,Chinese,N/A,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,N/A,,NA,NA
"{""prolific_id"":""657f8d99678be2d216a85c3d""}","Mandarin, French, Japanese","Mandarin,French,Japanese",no,NA,Not at all,"Spanish, 7 years, school
Latin, 4 years, school
Italian, 1 year, Duolingo","Spanish, 7 years at school; Latin, 4 years at school; Italian, 1 year Duolingo",I watch certain shows and foreign movies in subtitles like Squid games so Korean,Korean,No,NA,,,NA,NA
"{""prolific_id"":""67d7324bdbcbb6e5e7b18b7a""}",N/A,NA,no,NA,Not at all,N/A,NA,N/A,NA,N/A,NA,N/A,,NA,NA
"{""prolific_id"":""682fa6f29be03e5b730e64ac""}",No,NA,No,NA,Not at all,No,NA,No,NA,NO,NA,n/a,,NA,NA
